Reporting period end,Subject,Category,Data Item,Class of business group,Class of business category,Class of business,Reporting year basis,Accident/underwriting year,Development year,Value,Notes
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Marine,Accident year,2014,6,504000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Marine,Accident year,2013,7,496000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Marine,Accident year,2012,8,498000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Marine,Accident year,2011,9,499000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Marine,Accident year,2010,10,484000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Other,Accident year,2020,0,1355000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Other,Accident year,2019,1,1287000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Other,Accident year,2018,2,1211000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Other,Accident year,2017,3,1101000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Other,Accident year,2016,4,915000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Other,Accident year,2015,5,894000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Other,Accident year,2014,6,784000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Other,Accident year,2013,7,730000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Other,Accident year,2012,8,723000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Other,Accident year,2011,9,595000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Other,Accident year,2010,10,528000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Other accident,Accident year,2020,0,1090000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Other accident,Accident year,2019,1,1025000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Other accident,Accident year,2018,2,999000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Other accident,Accident year,2017,3,1025000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Other accident,Accident year,2016,4,1047000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Other accident,Accident year,2015,5,1102000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Other accident,Accident year,2014,6,1119000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Other accident,Accident year,2013,7,1116000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Other accident,Accident year,2012,8,1042000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Other accident,Accident year,2011,9,1045000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Other accident,Accident year,2010,10,922000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Travel,Accident year,2020,0,617000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Travel,Accident year,2019,1,1129000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Travel,Accident year,2018,2,1137000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Travel,Accident year,2017,3,917000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Travel,Accident year,2016,4,942000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Travel,Accident year,2015,5,924000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Travel,Accident year,2014,6,855000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Travel,Accident year,2013,7,770000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Travel,Accident year,2012,8,695000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Travel,Accident year,2011,9,680000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Travel,Accident year,2010,10,745000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Mortgage,Mortgage,Accident year,2020,0,594000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Mortgage,Mortgage,Accident year,2019,1,693000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Mortgage,Mortgage,Accident year,2018,2,753000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Mortgage,Mortgage,Accident year,2017,3,782000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Mortgage,Mortgage,Accident year,2016,4,841000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Mortgage,Mortgage,Accident year,2015,5,1023000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Mortgage,Mortgage,Accident year,2014,6,1186000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Mortgage,Mortgage,Accident year,2013,7,1030000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Mortgage,Mortgage,Accident year,2012,8,963000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Mortgage,Mortgage,Accident year,2011,9,826000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Mortgage,Mortgage,Accident year,2010,10,914000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2020,0,3367000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2019,1,3578000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2018,2,3768000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2017,3,4134000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2016,4,3768000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2015,5,3554000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2014,6,3468000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2013,7,3210000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2012,8,2931000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2011,9,2792000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2010,10,2597000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Employers' liability,Accident year,2020,0,1828000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Employers' liability,Accident year,2019,1,1774000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Employers' liability,Accident year,2018,2,1633000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Employers' liability,Accident year,2017,3,1555000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Employers' liability,Accident year,2016,4,1568000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Employers' liability,Accident year,2015,5,1640000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Employers' liability,Accident year,2014,6,1612000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Employers' liability,Accident year,2013,7,1629000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Employers' liability,Accident year,2012,8,1407000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Employers' liability,Accident year,2011,9,1244000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Employers' liability,Accident year,2010,10,1208000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2020,0,2579000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2019,1,2110000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2018,2,1807000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2017,3,1630000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2016,4,1460000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2015,5,1466000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2014,6,1323000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2013,7,1326000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2012,8,1273000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2011,9,1282000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2010,10,1309000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Public and product liability,Accident year,2020,0,2666000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Public and product liability,Accident year,2019,1,2475000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Public and product liability,Accident year,2018,2,2361000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Public and product liability,Accident year,2017,3,2254000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Public and product liability,Accident year,2016,4,2211000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Public and product liability,Accident year,2015,5,2196000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Public and product liability,Accident year,2014,6,2178000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Public and product liability,Accident year,2013,7,2085000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Public and product liability,Accident year,2012,8,2071000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Public and product liability,Accident year,2011,9,2031000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Long-tail,Public and product liability,Accident year,2010,10,1904000000,
12/31/2020,Gross,Premium,Gross written premium by class of business,Inwards reinsurance,Inwards reinsurance,Inwards reinsurance,Underwriting year,2020,0,6908000000,
12/31/2020,Gross,Premium,Gross written premium by class of business,Inwards reinsurance,Inwards reinsurance,Inwards reinsurance,Underwriting year,2019,1,7013000000,
12/31/2020,Gross,Premium,Gross written premium by class of business,Inwards reinsurance,Inwards reinsurance,Inwards reinsurance,Underwriting year,2018,2,7445000000,
12/31/2020,Gross,Premium,Gross written premium by class of business,Inwards reinsurance,Inwards reinsurance,Inwards reinsurance,Underwriting year,2017,3,6511000000,
12/31/2020,Gross,Premium,Gross written premium by class of business,Inwards reinsurance,Inwards reinsurance,Inwards reinsurance,Underwriting year,2016,4,7467000000,
12/31/2020,Gross,Premium,Gross written premium by class of business,Inwards reinsurance,Inwards reinsurance,Inwards reinsurance,Underwriting year,2015,5,6827000000,
12/31/2020,Gross,Premium,Gross written premium by class of business,Inwards reinsurance,Inwards reinsurance,Inwards reinsurance,Underwriting year,2014,6,6130000000,
12/31/2020,Gross,Premium,Gross written premium by class of business,Inwards reinsurance,Inwards reinsurance,Inwards reinsurance,Underwriting year,2013,7,5465000000,
12/31/2020,Gross,Premium,Gross written premium by class of business,Inwards reinsurance,Inwards reinsurance,Inwards reinsurance,Underwriting year,2012,8,5176000000,
12/31/2020,Gross,Premium,Gross written premium by class of business,Inwards reinsurance,Inwards reinsurance,Inwards reinsurance,Underwriting year,2011,9,4640000000,
12/31/2020,Gross,Premium,Gross written premium by class of business,Inwards reinsurance,Inwards reinsurance,Inwards reinsurance,Underwriting year,2010,10,4230000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2020,0,1747000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2019,1,1825000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2018,2,1761000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2017,3,1653000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2016,4,1545000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2015,5,1510000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2014,6,1317000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2013,7,1420000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2012,8,1285000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2011,9,1411000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2010,10,1215000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2020,0,6645000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2019,1,7013000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2018,2,6374000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2017,3,6149000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2016,4,5679000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2015,5,5588000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2014,6,4812000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2013,7,4591000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2012,8,4673000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2011,9,4327000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2010,10,4608000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2020,0,5164000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2019,1,3117000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2018,2,3044000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2017,3,3278000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2016,4,2971000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2015,5,3267000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2014,6,1985000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2013,7,2437000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2012,8,1652000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2011,9,5489000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2010,10,2266000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2020,0,7863000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2019,1,6019000000,
12/31/2020,Gross,Ultimate cost,Gross ultimate cost (inflated and undiscounted) by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2018,2,4127000000,
